First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Braden,Eves,M,47,Equal,,UnitedStates,03/05/1993,16,0,0,63,1.04,2017,2016,0,,0,,0,0,9,8,8,9,8,7,9,6,8,0.83,16,,,,,,,,,,,,5,75,80,65,4,,,,1,5,6,0,1,6,0,4,0,0,4,2,60,5,5,1,37,1,1,0,100,2,EnduranceSeries; GTSeries,
Jacob,Abel,M,47,Equal,,UnitedStates,05/10/1989,16,0,0,67,0.94,2017,2016,0,,0,,0,0,7,7,7,7,8,7,8,6,7.5,0.81,16,,,,,,,,,,,,5,90,80,15,3,,,,1,3,8,0,0,0,0,8,0,9,7,3,55,5,5,2,31,1,1,0,100,1.791666667,EnduranceSeries; GTSeries,
James,Roe Jr,M,47,Reserve,,UnitedStates,12/08/1994,16,0,0,65,0.2,2018,2016,0,,0,,0,0,7,7,7,7,7,7,8,5.5,6.5,0.42,16,,,,,,,,,,,,5,60,80,45,3,,,,0,4,4,0,0,4,0,4,0,8,7,0,50,5,10,2,31,1,1,0,100,1.722222222,GTSeries; EnduranceSeries,
Reece,Gold,M,50,Reserve,,UnitedStates,01/08/1994,42,0,0,63,0.97,2017,2016,0,,0,,0,0,6.5,6.5,6,7,6,6.5,6.5,5,6.5,0.46,16,,,,,,,,,,,,10,90,80,65,4,,,,0,1,9,0,0,0,0,10,0,3,2,3,50,5,5,1,30,1,2,0,100,1.569444444,GTSeries; EnduranceSeries,
Victor,Martins,M,13,Equal,,France,16/06/1995,16; 65; 109,0,0,64,2.49,2018,2016,0,,0,,0,0,10,10,10,11,9.5,9,11.5,10.5,9.5,0.56,85,2,,,,,,,,,,,12,90,70,95,3,11,48,39,1,3,4,3,0,0,0,15,0,9,2,3,68,5,15,3,31,1,1,0,100,2.527777778,SingleSeaterSeries,
Noel,Leon,M,51,Equal,,Mexico,21/12/1998,16,0,0,62,0.14,2019,2016,0,,0,,0,0,7,7,7,7,8,7,8,6,7.5,0.81,16,,,,,,,,,,,,5,90,80,75,3,,,,1,3,8,0,0,0,0,8,0,9,7,3,40,5,5,1,29,1,1,0,100,1.791666667,GTSeries,
Arias,Deukmedjian,M,51,Reserve,,UnitedStates,25/11/1998,16,0,0,62,0.93,2018,2016,0,,0,,0,0,5,5,5,5,5,5,6,3.5,4.5,0.42,16,,,,,,,,,,,,5,60,80,25,3,,,,0,4,4,0,0,4,0,4,0,8,7,0,20,5,10,1,30,1,1,0,100,1.222222222,GTSeries,
Antonio,Serravalle,M,49,Equal,,Canada,18/09/1996,16,0,0,65,0.92,2019,2016,0,,0,,0,0,6,6,6,6,7,6,7.5,5,6,0.65,16,,,,,,,,,,,,5,75,80,15,3,,,,0,3,1,2,1,2,0,4,0,0,9,6,50,5,3,1,35,1,1,0,100,1.541666667,GTSeries; EnduranceSeries,
Manuel,Sulaiman,M,46,Equal,,Mexico,22/07/1994,42,0,0,63,0.23,2019,2016,0,,0,,0,0,6.5,6.5,6,7,6.5,6,8,5,7,0.84,98,,,,,,,,,,,,5,90,60,50,3,,,,1,2,6,0,0,1,0,4,0,10,1,1,50,5,5,1,39,1,2,0,100,1.625,GTSeries,
Brendon,Hartley,M,52,Equal,1,NewZealand,10/11/1983,16; 42,0,0,68,2.81,2019,2014,0,,0,,0,0,16.75,16.75,16.5,13.5,17.5,13.5,14.5,18,15.5,0.71,16,,,,,,,,,,,,85,90,90,5,3,,,,2,2,1,0,0,0,0,8,0,4,7,0,75,5,5,5,29,1,1,100,100,3.958333333,EnduranceSeries,
Sebastien,Buemi,M,52,Equal,1,Switzerland,31/10/1982,7; 16; 44; 91,0,0,68,2.4,2019,2011,0,,0,,0,0,16.5,16.5,15,13.5,18.5,12.5,13.5,15.5,16,0.45,98,,,,,,,,,,,,90,95,80,5,4,,,,0,3,2,1,0,1,0,4,0,10,1,1,75,5,5,4,31,1,1,100,100,3.819444444,EnduranceSeries,
Ryo,Hirakawa,M,52,Equal,1,Japan,07/03/1988,16,0,0,65,1.88,2019,2016,0,,0,,0,0,14.5,14.5,14,13,14,12.5,12.5,15,13,0.43,16,,,,,,,,,,,,75,80,95,5,4,,,,1,1,0,0,0,0,0,6,0,4,9,9,55,5,5,2,33,1,2,100,100,3.416666667,EnduranceSeries,
Kamui,Kobayashi,M,52,Equal,2,Japan,12/06/1980,7; 16; 42; 229,0,0,68,2.71,2019,2011,0,,0,,0,0,15.5,15.5,15.5,15,15,13.5,13.5,16,15.5,0.53,16,,,,,,,,,,,,75,90,75,5,3,,,,1,7,8,1,0,8,0,6,0,4,9,9,75,5,5,3,32,1,2,100,100,3.75,EnduranceSeries,
Mike,Conway,M,52,Equal,2,UK,14/03/1978,7; 16; 42,0,0,70,2.41,2018,2014,0,,0,,0,0,13.5,13.5,13.5,12.5,13.5,12,12.5,15.5,13.5,0.4,16,,,,,,,,,,,,90,80,95,5,3,,,,0,5,0,0,0,5,0,6,0,4,9,9,65,5,5,3,33,1,1,100,100,3.333333333,EnduranceSeries,
Jose,Maria Lopez,M,52,Equal,2,Argentina,26/04/1977,7; 16; 42,0,0,68,1.98,2019,2012,0,,0,,0,0,14.5,14.5,13.5,12,14.5,11.5,12.5,15,14.5,0.83,16,,,,,,,,,,,,75,80,80,5,5,,,,1,5,6,0,1,6,0,4,0,0,4,2,65,5,5,4,32,1,1,100,100,3.402777778,EnduranceSeries,
Kevin,Magnussen,M,11,Equal,,Denmark,22/03/1986,7; 16; 42,0,0,67,3.9,2017,2015,0,,0,,0,0,16,16,16.5,13.5,17.5,13.5,15,17.5,16,0.81,16,,,,,,,,,,,,75,90,80,5,5,,,,1,3,8,0,0,0,0,8,0,9,7,3,75,5,5,4,28,1,1,0,100,3.930555556,EnduranceSeries; SingleSeaterSeries,
Gustavo,Menezes,M,53,Equal,1,UnitedStates,02/01/1989,42,0,0,67,2.5,2018,2015,0,,0,,0,0,12.75,12.75,12.75,12,13,11.5,13.5,13.25,13.5,0.48,16,,,,,,,,,,,,35,90,75,20,3,,,,1,1,8,0,0,0,0,10,0,6,6,6,40,5,5,1,31,1,1,0,100,3.194444444,EnduranceSeries,
Paul,di Resta,M,53,Equal,1,UK,16/04/1980,7; 16; 42,0,0,72,1.77,2018,2015,0,,0,,0,0,13,13,13.5,11.5,13.5,11,11,16.5,12.5,0.8,16,,,,,,,,,,,,75,80,90,5,3,,,,1,4,8,1,0,8,0,16,0,8,1,1,50,5,5,1,30,1,2,0,100,3.208333333,EnduranceSeries,
Jean-Eric,Vergne,M,53,Equal,2,France,25/04/1984,7; 16; 42; 91,0,0,70,3.11,2019,2015,0,,0,,0,0,15.5,15.5,15,14.5,16.5,13,12.5,18.5,16,0.67,16,,,,,,,,,,,,95,90,90,5,4,,,,2,1,9,0,0,0,0,13,0,6,8,8,80,5,5,3,30,1,2,0,100,3.805555556,EnduranceSeries,
Loic,Duval,M,53,Equal,2,France,12/06/1976,7; 16; 44,0,0,71,2.21,2018,2015,0,,0,,0,0,15.5,15.5,15.5,13.5,16.5,12.5,12,19.5,15.5,0.4,16,,,,,,,,,,,,95,90,80,5,4,,,,0,5,7,0,0,1,0,13,0,6,8,8,75,5,5,2,31,1,2,0,100,3.777777778,EnduranceSeries,
Mikkel,Jensen,M,53,Equal,2,Denmark,31/12/1988,16,0,0,66,1.98,2019,2015,0,,0,,0,0,12.5,12.5,12,13,12.5,11.5,13.5,11.5,12.5,0.65,16,,,,,,,,,,,,20,80,80,35,4,,,,1,3,6,0,0,0,0,9,0,8,0,10,60,5,5,4,31,1,1,0,100,3.097222222,EnduranceSeries,
James,Calado,M,58,Equal,1,UK,13/06/1983,7; 16; 42,0,0,70,3.19,2019,2016,0,,0,,0,0,15,15,15,11.5,14.5,12.5,12.5,18,15,0.77,16,,,,,,,,,,,,85,90,75,5,5,,,,2,4,7,0,0,0,0,16,0,0,3,4,50,5,5,2,29,1,2,0,100,3.583333333,EnduranceSeries,
Sam,Bird,M,58,Equal,1,UK,09/01/1981,16; 42; 91,0,0,70,1.94,2019,2016,0,,0,,0,0,13.5,13.5,13,12.5,14,11.5,12.5,16.5,13.5,0.85,16,,,,,,,,,,,,80,80,80,5,4,,,,1,5,7,0,0,0,0,14,0,3,6,7,55,5,5,4,30,1,1,0,100,3.347222222,EnduranceSeries,
Alessandro,Pier Guidi,M,58,Equal,1,Italy,18/12/1977,42,0,0,68,2.24,2018,2016,0,,0,,0,1,12.5,12.5,12.5,11,13,11.5,12.5,12,12.5,0.64,30,,,,,,,,,,,,85,90,80,5,4,90,67,10,5,2,8,0,0,0,0,6,0,6,9,2,35,5,5,2,31,1,1,0,100,3.055555556,EnduranceSeries,
Nicklas,Nielsen,M,58,Equal,2,Denmark,06/02/1991,16,0,0,68,2.51,2018,2016,0,,0,,0,1.5,10,10,10,10.5,11,9,11.5,9.5,10,0.88,16,,,,,,,,,,,,25,85,70,10,3,,,,1,6,4,0,0,0,0,6,0,5,4,5,30,5,5,1,35,1,1,0,100,2.541666667,EnduranceSeries,
Alessio,Rovera,M,58,Equal,2,Italy,22/06/1989,16,0,0,72,2.51,2018,2016,0,,0,,0,0,10,10,10.5,9.5,11,10.5,11.5,11,11.5,0.73,16,,,,,,,,,,,,15,75,50,5,4,,,,0,5,9,4,0,0,0,6,0,7,25,0,30,5,5,1,31,1,2,0,100,2.652777778,EnduranceSeries,
Francois,Perrodo,M,58,Equal,2,France,14/02/1971,165,0,0,71,1.82,2018,2016,0,,0,,0,0,10.5,10.5,11,9,11.5,8,8,13.5,9.5,0.92,16,,,,,,,,,,,,55,85,65,5,4,,,,1,1,2,0,0,0,0,11,0,1,1,6,35,5,5,2,33,1,1,0,100,2.541666667,EnduranceSeries,
Nicolas,Lapierre,M,55,Equal,1,France,02/04/1978,42,0,0,70,2.13,2017,2015,0,,0,,0,0,13.5,13.5,14,12,14.5,11.5,12,15,13.5,0.53,16,,,,,,,,,,,,85,90,90,5,4,,,,1,2,2,0,0,6,0,6,0,9,3,6,40,5,5,3,29,1,3,0,100,3.319444444,EnduranceSeries,
Andre,Negrao,M,55,Equal,1,Brazil,17/06/1986,42,0,0,67,1.8,2017,2015,0,,0,,0,0,12.5,12.5,12.5,12.5,13,11.5,12,13.5,12.5,0.46,16,,,,,,,,,,,,45,80,75,5,3,,,,1,3,7,0,0,0,0,16,0,4,0,6,40,5,5,2,31,1,2,0,100,3.125,EnduranceSeries,
Bruno,Senna,M,55,Equal,1,Brazil,03/05/1978,7; 40; 42,0,0,70,2.43,2018,2015,0,,0,,0,0,12.5,12.5,11.5,10.5,11,11.5,12,14,12,0.93,16,,,,,,,,,,,,75,90,90,5,3,,,,3,3,9,0,0,0,0,6,0,10,10,3,75,5,5,1,30,1,1,0,100,2.986111111,EnduranceSeries,
Matthieu,Vaxiviere,M,55,Equal,2,France,03/12/1988,16,0,0,67,1.99,2019,2015,0,,0,,0,0,12,12,11.5,9.5,12,9,11.5,11.5,12.5,0.83,16,,,,,,,,,,,,75,80,80,5,3,,,,1,3,3,1,0,0,0,14,0,6,2,6,40,5,5,3,30,1,5,0,100,2.819444444,EnduranceSeries,
Thomas,Laurent,M,55,Equal,2,France,31/10/1993,5,0,0,64,2.21,2018,2015,0,,0,,0,0,10,10.5,10.5,11.5,10.5,9,10.5,7,8.5,0.4,16,,,,,,,,,,,,15,80,75,75,3,,,,0,5,7,0,0,1,0,13,0,6,8,8,40,5,5,1,30,1,2,0,100,2.444444444,EnduranceSeries,
Nathaniel,Berthon,M,55,Equal,2,France,17/03/1983,42,0,0,69,1.32,2018,2015,0,,0,,0,0,11,11,11,10.5,11,10.5,12,10.5,12,0.65,16,,,,,,,,,,,,50,90,80,5,3,,,,1,3,6,0,0,0,0,9,0,8,0,10,40,5,5,3,29,1,1,0,100,2.763888889,EnduranceSeries,
Olivier,Pla,M,56,Equal,1,France,22/10/1975,16; 42; 67,0,0,71,1.78,2017,2015,0,,0,,0,0,14,14.5,14,13.5,14.5,13,12.5,15.5,14.5,0.4,16,,,,,,,,,,,,85,80,75,10,4,,,,0,5,7,0,0,1,0,13,0,6,8,8,65,5,5,1,36,1,2,0,100,3.5,EnduranceSeries,
Romain,Dumas,M,56,Equal,1,France,14/12/1971,7; 16; 44; 67,0,0,72,1.61,2018,2015,0,,0,,0,0,14,14,14,10.5,15,11.5,10,18.75,13,0.67,16,,,,,,,,,,,,99,90,90,5,4,,,,2,1,9,0,0,0,0,13,0,6,8,8,55,5,5,2,36,1,2,0,100,3.354166667,EnduranceSeries,
James,Rossiter,M,56,Equal,1,UK,25/08/1977,16; 42,0,0,70,2.29,2017,2016,0,,0,,0,0,13,13,13,11.75,13.5,12,13.5,14.5,14,0.4,16,,,,,,,,,,,,75,90,80,5,3,,,,0,5,7,0,0,1,0,13,0,6,8,8,50,5,5,3,30,1,2,0,100,3.284722222,EnduranceSeries,
Ryan,Briscoe,M,56,Equal,2,Australia,24/09/1975,42,0,0,72,2.07,2017,2015,0,,0,,0,0,12,12,12,11.5,12.5,11.5,11.5,13,12.5,0.46,16,,,,,,,,,,,,75,80,75,5,3,,,,1,3,7,0,0,0,0,16,0,4,0,6,45,5,5,2,32,1,2,0,100,3.013888889,EnduranceSeries,
Franck,Mailleux,M,56,Equal,2,France,27/05/1979,42,0,0,72,1.68,2017,2015,0,,0,,0,0,11,11,11,9,11,8.75,9.5,12.5,10.5,0.77,16,,,,,,,,,,,,70,80,80,5,3,,,,3,6,9,1,0,7,0,15,0,8,0,10,35,5,5,1,27,1,1,0,100,2.618055556,EnduranceSeries,
Richard,Westbrook,M,56,Equal,2,UK,10/07/1969,7; 42,0,0,72,1.99,2017,2015,0,,0,,0,0,11.5,11.5,12,10.5,12.5,10,10,12.5,11,0.4,16,,,,,,,,,,,,90,80,90,5,3,,,,5,3,7,0,0,3,0,11,0,8,4,0,60,5,5,4,30,1,1,0,100,2.819444444,EnduranceSeries,
Giedo,van der Garde,M,57,Equal,1,Netherlands,25/04/1979,42,0,0,70,2.44,2018,2016,0,,0,,0,0,12,12,12,9.5,12.5,10.5,11,13.5,12,0.66,48,,,,,,,,,,,,75,90,90,5,4,,,,0,2,8,0,0,11,0,9,0,10,9,10,50,5,5,1,33,1,2,0,100,2.916666667,EnduranceSeries,
Tom,Dillmann,M,57,Equal,1,France,30/11/1984,42,0,0,69,1.75,2019,2016,0,,0,,0,0,14,14,13.5,12,13.5,11.5,12,14.5,13.75,0.41,16,,,,,,,,,,,,50,90,80,5,4,,,,4,5,8,1,0,0,0,5,0,2,0,3,50,5,5,3,37,1,1,0,100,3.298611111,EnduranceSeries,
Esteban,Guerrieri,M,57,Equal,1,Argentina,19/01/1979,42,0,0,67,2.19,2018,2016,0,,0,,0,0,13.5,13.5,13,11.5,13,11.5,12.5,12.5,13,0.66,48,,,,,,,,,,,,65,90,90,5,4,,,,0,2,8,0,0,11,0,9,0,10,9,10,35,5,5,1,32,1,2,0,100,3.166666667,EnduranceSeries,
Jacob,van Uitert,M,57,Equal,2,Netherlands,10/09/1992,5,0,0,64,2.25,2019,2016,0,,0,,0,0,9,9,8,9.5,8.5,8.5,10,6,9,0.55,48,,,,,,,,,,,,10,80,65,35,3,,,,0,2,2,0,0,8,0,9,0,10,9,10,25,5,10,2,28,1,2,0,100,2.152777778,EnduranceSeries,
Julien,Canal,M,57,Equal,2,France,07/10/1977,42,0,0,70,2.03,2018,2016,0,,0,,0,0,14,14,13.5,12.5,14.5,11,11.5,15.5,12.5,0.63,16,,,,,,,,,,,,75,90,80,5,3,,,,1,5,5,1,0,0,0,16,0,4,0,6,60,5,5,3,29,1,2,0,100,3.305555556,EnduranceSeries,
Will,Stevens,M,57,Equal,2,UK,28/06/1985,16,0,0,68,1.12,2018,2016,0,,0,,0,0,11.5,11.5,11.5,11,12,11.5,11.5,12,12.5,0.72,16,,,,,,,,,,,,50,80,75,5,4,,,,2,5,5,0,0,0,0,1,0,1,2,9,40,5,5,1,32,1,1,0,100,2.916666667,EnduranceSeries,
Filipe,Albuquerque,M,54,Equal,1,Portugal,13/06/1979,42,0,0,71,0.95,2018,2014,0,,0,,0,0,14.5,14.5,15,13.5,15,12.5,13,16.5,14.5,0.77,16,,,,,,,,,,,,70,90,90,3,4,,,,2,4,7,0,0,0,0,16,0,0,3,4,40,5,5,3,47,1,2,0,100,3.583333333,EnduranceSeries,
Philip,Hanson,M,54,Equal,1,UK,05/07/1993,5; 16; 65,0,0,65,0.84,2019,2012,0,,0,,0,0,12.5,12.5,12.5,12.5,12.5,12.5,14,11.5,13,0.4,72,,,,,,,,,,,,25,90,80,45,4,68,70,33,1,4,0,4,0,9,0,6,0,0,7,0,70,5,15,1,32,1,5,0,100,3.152777778,EnduranceSeries,
Oliver,Jarvis,M,54,Equal,1,UK,09/01/1978,7; 16; 42,0,0,69,0.69,2019,2016,0,,0,,0,0,15.5,15.5,14.5,13.5,15.5,12.5,13.5,15,14.75,0.85,16,,,,,,,,,,,,90,80,80,5,3,,,,1,5,7,0,0,0,0,14,0,3,6,7,70,5,5,1,35,1,1,0,100,3.618055556,EnduranceSeries,
Wayne,Boyd,M,54,Equal,2,UK,25/10/1984,42,0,0,68,0.96,2019,2014,0,,0,,0,0,12,12,12,11.5,12,11,12,11.5,12,0.65,16,,,,,,,,,,,,35,90,90,5,4,,,,1,3,6,0,0,0,0,9,0,8,0,10,35,5,5,3,30,1,1,0,100,2.944444444,EnduranceSeries,
Tom,Gamble,M,54,Equal,2,UK,07/11/1995,42,0,0,66,0.54,2019,2015,0,,0,,0,0,9.5,9.5,10,11,10.5,9.5,11.5,8.5,9.9,0.76,16,,,,,,,,,,,,10,90,80,55,3,,,,1,2,0,0,0,0,0,11,0,8,4,0,50,5,5,3,27,1,1,0,100,2.497222222,EnduranceSeries,
Alex,Lynn,M,54,Equal,2,UK,17/09/1987,42,0,0,67,0.88,2019,2016,0,,0,,0,0,13.5,13.5,13,11.5,13.25,11.5,12.5,14.5,13.5,0.66,48,,,,,,,,,,,,65,90,90,5,4,,,,0,2,8,0,0,11,0,9,0,10,9,10,45,5,5,3,33,1,2,0,100,3.243055556,EnduranceSeries,
Ben,Hanley,M,59,Equal,1,UK,16/02/1980,42,0,0,68,0.85,2019,2015,0,,0,,0,0,13.5,13.5,13.5,12,14,11.5,11,14.5,12.75,0.77,16,,,,,,,,,,,,70,90,75,5,5,,,,2,4,7,0,0,0,0,16,0,0,3,4,50,5,5,1,35,1,2,0,100,3.229166667,EnduranceSeries,
Juan Pablo,Montoya,M,59,Equal,1,Colombia,20/09/1969,42,0,0,75,0.94,2019,2016,0,,0,,0,0,13.5,13.5,12.5,10,13,11,10.5,15.5,13.5,0.61,16,,,,,,,,,,,,95,95,95,5,5,,,,0,6,2,0,0,0,0,4,0,8,3,7,35,5,5,2,30,1,4,0,100,3.138888889,EnduranceSeries,
Henrik,Hedman,M,59,Equal,1,Sweden,05/02/1962,42,0,0,72,0.79,2018,2015,0,,0,,0,0,12.5,12.5,12.5,11,12.5,10,10.5,13.5,11.5,0.46,16,,,,,,,,,,,,90,90,90,5,4,,,,0,6,3,0,0,0,0,0,0,5,8,7,30,5,5,3,32,1,2,0,100,2.958333333,EnduranceSeries,
Ricky,Taylor,M,59,Equal,2,UnitedStates,03/08/1983,7; 42,0,0,70,0.86,2019,2016,0,,0,,0,0,15,15,15,12,16.5,13,12,18,14,0.4,16,,,,,,,,,,,,70,90,85,5,4,,,,0,5,7,0,0,6,0,16,0,5,6,5,50,5,5,1,34,1,3,0,100,3.625,EnduranceSeries,
Renger,van der Zande,M,59,Equal,2,Netherlands,16/02/1980,42,0,0,70,0.64,2018,2016,0,,0,,0,0,12,12.5,12.5,11.5,13.5,11,11,13,12.5,0.63,16,,,,,,,,,,,,75,80,80,4,4,,,,3,3,2,0,0,5,0,16,0,5,6,5,35,5,5,1,35,1,3,0,100,3.041666667,EnduranceSeries,
Ryan,Cullen,M,59,Equal,2,Ireland,26/03/1985,16,0,0,70,0.78,2019,2014,0,,0,,0,0,10,10,10,9.5,10.5,9,9,9,9.5,0.7,16,,,,,,,,,,,,25,80,80,5,3,,,,3,6,7,0,0,2,0,16,0,5,6,5,30,5,5,1,32,1,3,0,100,2.402777778,EnduranceSeries,
Robin,Frijns,M,60,Equal,1,Netherlands,07/08/1985,42; 91,0,0,67,0.75,2018,2016,0,,0,,0,0,14.5,14.5,14,13.5,14.5,11.5,13.5,13.5,14.5,0.66,48,,,,,,,,,,,,55,90,90,5,3,,,,0,2,8,0,0,11,0,9,0,10,9,10,50,5,5,4,36,1,2,0,100,3.444444444,EnduranceSeries,
Ferdinand,von Habsburg,M,60,Equal,1,Austria,21/06/1991,16; 40,0,0,65,0.84,2019,2016,0,,0,,0,0,9.5,9.5,10,11.5,10.8,10.5,11.9,10,10.25,0.91,48,,,,,,,,,,,,30,90,80,55,4,,,,2,1,4,0,0,5,0,9,0,10,9,10,55,5,5,4,27,1,2,0,100,2.609722222,EnduranceSeries,
Sean,Gelael,M,60,Equal,1,Indonesia,01/11/1990,165,0,0,66,0.99,2019,2016,0,,0,,0,3,8,8,8.5,7.5,8,7.5,10.5,9,8.5,0.46,16,,,,,,,,,,,,25,90,80,5,3,,,,1,3,7,0,0,0,0,16,0,4,0,6,50,5,5,3,38,1,2,0,100,2.097222222,EnduranceSeries,
Louis,Deletraz,M,62,Equal,2,Switzerland,22/04/1991,16,0,0,66,0.76,2019,2016,0,,0,,0,0,12.75,13,12.75,11.5,12,12,13.5,12.5,13,0.55,48,,,,,,,,,,,,30,90,90,15,3,,,,0,2,2,0,0,8,0,9,0,10,9,10,45,5,5,4,45,1,2,0,100,3.138888889,EnduranceSeries,
Tom,Blomqvist,M,60,Equal,2,UK,30/11/1987,16; 40; 42,0,0,70,0.84,2019,2016,0,,0,,0,0,13.5,13.5,13,12.5,13.5,12.5,12.5,13.5,13.5,0.53,16,,,,,,,,,,,,60,90,90,25,3,,,,1,2,2,0,0,6,0,6,0,9,3,6,55,5,5,3,30,1,3,0,100,3.277777778,EnduranceSeries,
Yifei,Ye,M,60,Equal,2,China,16/06/1994,16,0,0,65,0.68,2017,2016,0,,0,,0,0,8,8,8,8.5,8,8,10.5,7.5,9,0.72,48,,,,,,,,,,,,15,90,85,25,3,,,,1,3,9,0,0,0,0,10,0,5,7,2,35,5,5,1,31,1,2,0,100,2.097222222,EnduranceSeries,
Felipe,Nasr,M,61,Equal,1,Brazil,21/08/1986,7; 16; 44,0,0,71,0.85,2018,2016,0,,0,,0,0,14,14,14,11.5,14.5,12.5,11.5,14.5,13.5,0.4,16,,,,,,,,,,,,45,90,80,5,4,,,,0,5,7,0,0,1,0,13,0,6,8,8,55,5,5,2,36,1,2,0,100,3.333333333,EnduranceSeries,
Norman,Nato,M,61,Equal,2,France,08/07/1986,16; 42,0,0,68,0.94,2018,2016,0,,0,,0,0,13.5,13,13,12.5,13.5,12.5,14.5,12.5,13.5,0.81,16,,,,,,,,,,,,45,90,80,5,4,,,,1,3,8,0,0,0,0,8,0,9,7,3,45,5,5,3,28,1,1,0,100,3.291666667,EnduranceSeries,
Emmanuel,Collard,M,61,Equal,1,France,03/04/1965,42,0,0,73,0.79,2019,2016,0,,0,,0,0,11.5,11.5,11.5,9,13.5,10.5,8.5,15,12.5,0.85,16,,,,,,,,,,,,95,90,80,5,4,,,,2,3,8,0,0,0,0,5,0,3,2,9,45,5,5,3,30,1,5,0,100,2.875,EnduranceSeries,
Sebastien,Bourdais,M,61,Equal,2,France,28/02/1973,44,0,0,72,0.86,2018,2016,0,,0,,0,2,13.5,13.5,13.5,11.5,14.5,12.5,11,16.5,13.5,0.41,16,,,,,,,,,,,,95,85,75,5,4,,,,2,3,8,0,0,0,0,5,0,3,2,9,55,5,5,3,31,1,5,0,100,3.333333333,EnduranceSeries,
Dane,Cameron,M,61,Equal,1,UnitedStates,18/10/1982,16,0,0,71,0.74,2019,2016,0,,0,,0,0,11,11,11,10.5,12,10.5,10.5,12.5,12.5,0.72,16,,,,,,,,,,,,55,90,80,5,4,,,,2,5,5,0,0,0,0,1,0,1,2,9,35,5,5,2,30,1,1,0,100,2.819444444,EnduranceSeries,
Gabriel,Aubry,M,61,Equal,2,France,03/04/1992,16; 42,0,0,75,0.68,2017,2016,0,,0,,0,0,12.5,12.5,12.5,9.5,13.25,8.5,9,16.5,13,0.7,16,,,,,,,,,,,,95,90,90,25,4,,,,2,3,9,1,0,0,0,1,0,1,2,9,50,5,5,2,37,1,1,0,100,2.979166667,EnduranceSeries,
Antonio,Fuoco,M,62,Equal,1,Italy,20/05/1990,16; 40; 42,0,0,67,0.75,2019,2016,0,,0,,0,0,11.5,11.5,11,11.5,12,11.5,12,12,12.5,0.53,16,,,,,,,,,,,,35,90,90,10,4,,,,1,2,2,0,0,6,0,6,0,9,3,6,40,5,5,1,32,1,3,0,100,2.930555556,EnduranceSeries,
Luca,Ghiotto,M,62,Equal,1,Italy,24/02/1989,16,0,0,68,0.84,2019,2016,0,,0,,0,3,12.75,12.75,12.75,11.5,12.75,10.5,12.5,11.5,12.5,0.46,16,,,,,,,,,,,,35,90,80,25,4,,,,1,3,7,0,0,0,0,16,0,4,0,6,40,5,5,3,32,1,2,0,100,3.041666667,EnduranceSeries,
Nico,Muller,M,62,Equal,1,Germany,25/02/1986,16; 42,0,0,69,0.99,2017,2016,0,,0,,0,1,12.5,12.5,12.5,11,13,11.5,12.5,12,12.5,0.64,30,,,,,,,,,,,,50,90,80,5,4,90,67,10,5,2,8,0,0,0,0,6,0,6,9,2,45,5,5,2,31,1,1,0,100,3.055555556,EnduranceSeries,
Lorenzo,Colombo,M,62,Equal,2,Italy,13/09/1994,16,0,0,65,0.66,2019,2016,0,,0,,0,0,9,9,9,10.5,8.75,8.5,11.5,7.5,8.5,0.42,16,,,,,,,,,,,,10,80,80,50,4,,,,4,1,7,0,0,0,0,14,0,8,9,9,50,5,5,1,31,1,3,0,100,2.284722222,EnduranceSeries,
Antonio,Felix da Costa,M,60,Equal,2,Portugal,31/08/1985,42; 65; 91,0,0,68,0.94,2017,2016,0,,0,,0,0,16.5,16.5,15.5,14,17.5,13,14,16,16,0.63,16,,,,,,,,,,,,75,75,90,5,3,,,,1,5,5,1,0,0,0,16,0,4,0,6,60,5,5,2,30,1,2,0,100,3.861111111,EnduranceSeries,
Sophia,Florsch,F,26,Equal,,Germany,01/12/1994,16,0,0,62,0.88,2019,2016,0,,0,,0,0,2.2,2.56,10,6.47,9.9,4.31,9,11.49,15.8,0.59,16,,,,,,,,,,,,40,80,80,15,5,,,,0,3,5,0,0,0,0,10,0,8,6,5,50,5,5,1,38,1,3,0,100,1.9925,Any,
Alex,Brundle,M,63,Equal,1,UK,07/08/1984,42,0,0,69,0.75,2019,2016,0,,0,,0,0,10.5,10.5,10.5,9,11.5,9.5,10,11.5,11,0.4,16,,,,,,,,,,,,35,80,80,5,5,,,,0,3,5,0,0,0,0,10,0,8,6,5,40,5,5,2,26,1,3,0,100,2.611111111,EnduranceSeries,
